Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product, Price_per_Unit ,Units_Sold, Total_Sales , Operating_Profit ,Sales_Method
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Mens Street Footwear,50,12000,600000,300000,In store
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Mens Athletic Footwear,50,10000,500000,150000,In store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Womens Street Footwear,40,10000,400000,140000,In store
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Womens Athletic Footwear,45,8500,382500,133875,In store
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Mens Apparel,60,9000,540000,162000,In store
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Womens Apparel,50,10000,500000,125000,In store
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Mens Street Footwear,50,12500,625000,312500,In store
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Mens Athletic Footwear,50,9000,450000,135000,Outlet
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Womens Street Footwear,40,9500,380000,133000,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Womens Athletic Footwear,45,8250,371250,129938,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Mens Apparel,60,9000,540000,162000,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Womens Apparel,50,10000,500000,125000,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Mens Street Footwear,50,12200,610000,305000,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Mens Athletic Footwear,50,9250,462500,138750,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Womens Street Footwear,40,9500,380000,133000,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Womens Athletic Footwear,45,8000,360000,126000,Outlet
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Mens Apparel,60,8500,510000,153000,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Womens Apparel,50,9500,475000,118750,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Mens Street Footwear,50,12000,600000,300000,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Mens Athletic Footwear,50,9000,450000,135000,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Womens Street Footwear,40,9000,360000,126000,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Womens Athletic Footwear,45,8250,371250,129938,Outlet
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Mens Apparel,60,8250,495000,148500,Outlet
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Womens Apparel,50,9500,475000,118750,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Mens Street Footwear,60,12200,732000,366000,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Mens Athletic Footwear,55,9250,508750,152625,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Womens Street Footwear,50,9000,450000,157500,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Womens Athletic Footwear,50,8500,425000,148750,Outlet
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Mens Apparel,60,8750,525000,157500,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Womens Apparel,65,10000,650000,162500,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Mens Street Footwear,60,12500,750000,375000,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Mens Athletic Footwear,55,10000,550000,165000,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Womens Street Footwear,50,9250,462500,161875,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Womens Athletic Footwear,50,9000,450000,157500,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Mens Apparel,60,9000,540000,162000,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Womens Apparel,65,10500,682500,170625,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Mens Street Footwear,60,12750,765000,382500,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Mens Athletic Footwear,55,10250,563750,169125,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Womens Street Footwear,50,9500,475000,166250,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Womens Athletic Footwear,50,9000,450000,157500,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Mens Apparel,60,9250,555000,166500,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Womens Apparel,65,11000,715000,178750,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Mens Street Footwear,60,12500,750000,375000,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Mens Athletic Footwear,55,10250,563750,169125,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Womens Street Footwear,50,9500,475000,166250,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Womens Athletic Footwear,50,9250,462500,161875,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Mens Apparel,60,9000,540000,162000,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Womens Apparel,65,10750,698750,174688,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Mens Street Footwear,60,12000,720000,360000,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Mens Athletic Footwear,55,10000,550000,165000,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Womens Street Footwear,50,9250,462500,161875,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Womens Athletic Footwear,50,9000,450000,157500,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Mens Apparel,60,9000,540000,162000,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Womens Apparel,65,10000,650000,162500,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Mens Apparel,65,8750,568750,170625,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Womens Apparel,70,10000,700000,175000,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Mens Street Footwear,65,11500,747500,373750,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Mens Athletic Footwear,55,9750,536250,160875,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Womens Street Footwear,55,9200,506000,177100,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Womens Athletic Footwear,55,9000,495000,173250,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Mens Apparel,65,8750,568750,170625,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Womens Apparel,70,9750,682500,170625,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Mens Street Footwear,65,12000,780000,390000,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Mens Athletic Footwear,55,10000,550000,165000,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Womens Street Footwear,55,9500,522500,182875,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Womens Athletic Footwear,55,9000,495000,173250,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Mens Apparel,65,9000,585000,175500,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Womens Apparel,70,10000,700000,175000,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Mens Street Footwear,25,9000,225000,78750,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Mens Athletic Footwear,35,9000,315000,110250,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Womens Street Footwear,35,7000,245000,85750,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Womens Athletic Footwear,35,7000,245000,110250,Outlet
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Mens Apparel,40,5500,220000,66000,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Womens Apparel,35,7000,245000,122500,Outlet
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Mens Street Footwear,25,8500,212500,74375,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Mens Athletic Footwear,35,8500,297500,104125,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Womens Street Footwear,35,6750,236250,82688,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Womens Athletic Footwear,35,6250,218750,98438,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Mens Apparel,40,5000,200000,60000,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Womens Apparel,35,7000,245000,122500,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Mens Street Footwear,30,8750,262500,91875,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Mens Athletic Footwear,40,8750,350000,122500,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Womens Street Footwear,35,7000,245000,85750,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Womens Athletic Footwear,40,6000,240000,108000,Outlet
